gotOffer,experience,difficulty,length,role,details,questions/0,date,questions/1
No Offer,Negative Experience,Average Interview,1+ week,Product Security Engineer,"Interview was good and working all well. Downside was that after telling me I'd get an offer they changed their mind last minute and changed it again. Also had a recruiter completely dropping the ball, so I took another offer.",Never got asked by a Director about my salary demands before. So watch out that not only HR will talk with you about that.  ,"Jun 2, 2015",
No Offer,Negative Experience,Average Interview,a week,Software Engineer,"The interview was for a Intern position. The questions asked in the interview were totally different from what was mentioned in the job description. Also there was a mis-communication between the recruiter and the interviewer regarding the schedule of the interview. The interview which was supposed to be cancelled by the HR was not communicated to the interviewer and he called at that time anyways , when I was in…  the middle of my class.",REST API and Javascript  ,"Feb 18, 2015",
No Offer,Positive Experience,Average Interview,3 weeks,Intern - Hourly,"Started process via career fair. Interview process for me was a brief set of screening questions on Python and Unix utilities (at the career fair), followed by a short non-technical phone interview, an online coding challenge, followed by the onsite.Onsite interview: under NDA. Had multiple rounds, and questions were fair, of varying difficulty. Touched on algorithms, complexity, testing, implementation.","(Online challenge): given a string of multiple words each separated by a space, return a string with each individual word reversed  ","Feb 21, 2015",
Declined Offer,Neutral Experience,Average Interview,a week,Software Engineer In Test,"I did the application from a School Career Fair. They reached me soon which was surprised me. They firstly made a phone call for scheduling the next phone call. It came soon just in the next week.However, this company or maybe the hiring manager was so messed up. After I emailed him about my time availability. He firstly said okay then found that time is not good for him. Then,…  we made another yet has been cancelled again because of him. Overall, this kind of update happened several times.The phone call is also weird. At least, as far as I know, this is the only company that use almost 30 mins for gauging. Nothing else happened yet.",Any question you have about the company or for me?  ,"Feb 26, 2015",
Accepted Offer,Positive Experience,Difficult Interview,a week,Product Management,"I was employee-referred for a position. My contact set a date for when the hiring manager would call for a phone interview. The hiring manager after sensing a possible fit provided me with the expectations and challenges of the job which is critical context for addressing the panel interviews later.I was quickly scheduled for an interview within days. The recruiting lead was in touch with me, provided me with names…  of people I'd meet. My day started at 10am in the SF office. Met with 7 people and was done by 4 pm. The interviews ran per schedule.The panelist were smart people who discussed a variety of topics. I found it easy to establish rapport and engage in a conversation.","One question that could have gone awry had to do with understanding the interviewers frame of reference versus mine. Once that was resolved, the question being asked was very relevant.  ","Jan 12, 2015",
Accepted Offer,Positive Experience,Average Interview,4+ weeks,Video Production Associate,"The first interview was via email questions, then followed up by a second with a call from the same person (recruiter). Third round was talking to the person I'd be working with directly, and fourth was being interviewed in the office by the team I'd be working with. Finally I spoke with another manager in London over the phone who does approvals for the team. Multiple interviews in this fashion…  are not uncommon in Silicon Valley so it wasn't really a surprise.Overall I liked that they were interested in why I chose Splunk and why I was interested in this field personally, over emphasizing the checklist of the many requirements this job entailed. They also complimented my work more than other interviewers have in the past, which I really appreciated.",Why Splunk?  ,"Feb 12, 2015",It looks like you have mostly been doing freelance work why are you interested in this particular role?  
No Offer,Positive Experience,Easy Interview,3+ months,Software,"First, there will be one or two recruiters to contact to you and set up phone interview date. Then, one of the engineer from Splunk will call you and ask about your resume. Then it follows up several coding or C++ concept questions. After that, you will have chance to ask interviewer some questions. My personal experience is about half a hour. But normally, it will last 45 mins.",In C++ what is the difference between process and thread. What is difference between malloc and free.  ,"Jan 30, 2015",
Declined Offer,Negative Experience,Difficult Interview,8 weeks,Business Systems Analyst,"I initially heard about the position from a former colleague, and the company piqued my interest due to its unique position in the marketplace. I applied online for two positions and was contacted the following week by the recruiter.The first interview consisted of a phone screen by the recruiter to gauge my interest. It was purely conversational and I enjoyed speaking transparently about company culture, benefits, and compensation.The second phone…  interview was with a team lead. This conversation was much more awkward as it seemed the interviewer was distracted and/or stressed. I had the chance to ask a few questions, but the answers seemed pretty generic.The third phone interview was with the hiring manager. This involved more in-depth behavioral questions and about my current experience.The third phone interview was with the Director of CRM. I really enjoyed this conversation as we had shared some previous experience together. This conversation gave great insight into the company's vision and culture.After the initial phone interviews, I was brought onsite for meetings with the team. The onsite interview consisted of meeting six people of the team (team-members, hiring manager, SR Director, architect). The onsite meetings gave me mixed feelings. Some conversations were great and natural, but others were passive-aggressive. At one point, a team-member openly ridiculed my lack of experience for the role.After the onsite interview, I felt very confident that I had concluded the interview process, but the hiring manager contacted me to notify me that I had a week to prepare a presentation on key concepts to the team. This was a surprise to me, but I wanted to demonstrate my passion/interest so I spent the weekend preparing a presentation. After the presentation, I heard feedback that everything went well and that I should be expecting to hear back soon.However, this was not the case. Over the span of the next two weeks, I had three more phone interviews! By then, I was mentally exhausted and felt that the process was disorganized - not a good impression for what was really happening behind the scenes.After 6-7 weeks and 11 interviews later, I finally received the offer, but declined due to various reasons.",Describe the differences between CRM and ERP. What are the main financial processes in an ERP system?  ,"Nov 8, 2014",
Accepted Offer,Positive Experience,Average Interview,4+ weeks,Software Engineer,"I got a referral from a friend for a Software Engineering position on the client platform team (front-end). I got an call from the engineering director first where he pretty much just explained to me the breakdown of the company and what it does. I think because of my past experience and the referral, I got a onsite directly after that call, which I scheduled a month later so I…  can prepare for it.The onsite experience was pretty great overall. I had 4 hour long interviews and a lunch with the engineering director for the team I am interviewing for. The interviewers were all super nice. They definitely did not try to ask trick questions or anything unreasonable. All of the questions they asked were very important concepts for JavaScript (I recommend reading a couple JavaScript books before interviewing for front-end positions, it helped a lot). So I was able to solve the problems for each of the interviews and had time to asked the interviewers questions about themselves and the company. Overall the conversation went really well. Definitely be yourself during those conversation. Tell them what your passions are, what your ultimate career goal is...","Can't talk about specific questions because of the NDA. But like I said, read JavaScript books (javascript The Good Parts is a good start). Concepts like closure, scopes, callback functions... will be tested in any front-end interviews.  ","Nov 24, 2014",
No Offer,Positive Experience,Easy Interview,1+ week,Software Engineer,"There were two telephonic interviews in which they asked simple coding questions. Then there was on-site. There were 5 rounds of interviewsRound1: Implement CPP functionalites in CRound2: Implement AVL treeRound3: Lunch and then they gave a socket program, asked me to add enhancements to it. Lunch round was nice. My interviewer was very friendly.Round4: Merge two sorted arrays and put the result in array1. Print a binary tree, each level…  in a new lineRound5: With manager. Why splunk? What offer you have and which will you choose and why? How do you debug following things? Memory leaks, deadlocks, high cpu usage, etc. in a very big complex system where printing logs etc is not feasibleWork culture was awesome. All preparations for the interview were excellent.",Unexpected: Implement AVL tree  ,"Nov 3, 2014",
No Offer,Negative Experience,Average Interview,2+ months,Administrative Assistant,"When an interview process lasts for 2.5 months and involves 10+ interviews and a whole lot of miscommunication, it will make you wonder what the business practices are. After that long, I'd found another position (total time for recruitment to hire under 1 month....3 interviews total). Splunk needs to review how they do this because the impression it gives to potential employees is one of indecision. I'd also learned during…  the process that the job I was interviewing for wasn't even approved by their Finance department, thus essentially wasting my time. A process riddled with many miscommunications. Job applied for is not even at Executive level. Ten interviews? Seriously?I read here on glassdoor comments about back stabbing happening in the company. This very subject came up in one of my interviews to try and gauge whether I gossip or backstab. I found it odd at the time, but now after reading the reviews, it makes sense. No thanks!I am a professional with 20+ years of experience. This interview process was insulting.",Do you join in when gossip occurs?  ,"Oct 1, 2014",
No Offer,Average Interview,-,2 weeks,Security Engineer,"I applied online. Process took two weeks. There were two phone interviews. The first one was a simple phone screen. Resume related questions. Second interview was a bit more technical. The job required knowledge of python which I didn't have, so I did not receive an offer.",I was asked about my knowledge of python even though my resume has no mention of it.  ,"Sep 15, 2014",
No Offer,Positive Experience,Difficult Interview,1+ week,IT Infrastructure Project Manager,"My interview was scheduled for 2pm and I was surprised that I did not have to wait a minute beyond that to be greeted by the recruiter. He led me to a conference room that was equipped with a phone and WiFi connection details. However, I never got to use them :-). The1st interviewer showed up almost immediately and the interview process was underway. I ended up speaking with 5…  interviewers; all relevant to the position. We ran over the scheduled time a little but that was due to a lot of really meaningful Q&A.","what is my project management ""philosophy""?  ","Sep 5, 2014",
No Offer,Negative Experience,Easy Interview,2+ months,Director,Haven't seen a chaotic process. Applied online and was shortlisted with a phone interview with a promise to bring me onsite only to be notified with in 2 hours that the position is put on hold and will be back once the position gets reopened. Fast forward 1 month and this time 2 phone interviews and when tried to follow up came back with similar response as to change in…  direction.,Nothing difficult was able to answer all of them  ,"Aug 21, 2014",
Accepted Offer,Neutral Experience,Difficult Interview,-,Software Engineer,"Typical bay area software engineer interview process involving nearly 10 interviewers with 5 or 6 rounds of interviews. Interview is based on algorithms & data structures, systems & multi threading.",,"Aug 2, 2014",
No Offer,Negative Experience,Easy Interview,3 days,Senior Software Engineer,Contacted on LinkedIn.. Process was smooth..But they ask junior engineer to take initial rounds.Only 1 phone coding interview. I have close to 12.5 years experience. The interviewer was junior software engineer.These juniors do not understand the big picture OR don't know what to ask..They just ask some coding program which they have done during college days and they judge people with great experience on that. I was initially told there…  will be 2 interviews and after one interview another junior guy said they were not going ahead.. I was laughing and felt good that I did not have work with such people.. But Splunk looses good people who want to work for company..Actually I solved the programming interview questions in 2 different ways..told him that I have made some assumptions to keep it simple..I can make it complex if required.He seemed to be not happy :),No difficult questions...Standard question - How to check if 2 strings are anagrams of each other.  ,"Sep 13, 2014",
No Offer,Negative Experience,Average Interview,2 days,Front End QA Automation Engineer,"I applied online, and get contacted 2 days later. One phone screening, first question was what I know about Splunk, then asking all concept questions like how Selenium RC works, why java application is independent...what's SQL foreigner key... The guy just hand up the call, as I guess I was not doing well in these questions",how Selenium RC works  ,"Jul 17, 2014",
No Offer,Positive Experience,Difficult Interview,-,Software Engineer,"Good interview, the interviewing team was quite friendly, good questions asked, they let me know the next day that wouldn't be making an offer. Though, I had performed decently, that was expected since I just had 2 years of experience and a Master's degree for a role requiring 5 years of experience. I knew the work culture from a friend who had interned there before and he told me that…  they are very particular about the quality of their code (since they just have this one big data product.). The interview mostly involved coding questions which you have to solve on the whiteboard.",Practice coding questions and make sure you get it right in the very first attempt.  ,"Jun 30, 2014",
Declined Offer,Negative Experience,Easy Interview,-,Channel Sales,Very weird and disorganized. I had numerous recruiters contacting me scheduling all sorts of phone interviews and clearly not communicating with each other. That was the first red flag. Then I learned more about their channel. The actual sales managers could not answer my questions. The ones who clearly could did a very poor job of deflecting the truth. Whatever that is. I have looked at their public filings. They…  seem to be selling something with some success. I guess it's all direct sales. Anyways I didn't buy what they were trying to sell me. Their channel organization is a circus. Stay far away.,The interviewers should be answering this one. They did not ask me anything I did not know.  ,"May 29, 2014",
No Offer,Negative Experience,Easy Interview,1+ week,Intern,"Hiring process started quickly. After the initial screening round they setup three phone interviews on the same day. The first person did not call, the second person called and asked if I had any questions for them. I said no, and he ended the call. In 10 mins I received a rejection email.",No question asked  ,"Dec 19, 2014",
Accepted Offer,Positive Experience,Easy Interview,a week,Instructional Designer,"Very thorough and fast. Was not drawn out at all. Would have been nice to have lunch. Met with all the key players from manager, director, and several coworkers. Did not receive any technical questions, and they were open to communication after the process. Manager was very receptive and willing to continue emailing me after the interview to answer my questions.",None. Very straightforward questions about what my experience was and why I was leaving and what I was looking for.  ,"May 8, 2014",
Accepted Offer,Positive Experience,Average Interview,2 weeks,Intern - Hourly,"1 phone interview and a 2 hour in person interview. The 2 hour interview consists of 4, 30 minute interviews with members of separate teams. Mainly background and behavioral questions. A few basic technical.",Why Splunk? Why are you qualified?  ,"Oct 12, 2015",
No Offer,Neutral Experience,Average Interview,1 day,Manager,"Initial phone screen. 1/2 hour. Standard phone interview. All open-ended questions. The interviewer began with the statement ""let's stop from the top. Tell me what you know about splunk."" I was grateful the interviewer gave me time to ask a few questions. Answers to those questions gave me a good perspective on what it might be like to work at splunk.",,"Apr 13, 2014",
No Offer,Negative Experience,Average Interview,6+ weeks,Project Manager,"Phone screen with recruiter, phone interview with hiring manager, two onsite interviews. All were about 2 weeks apart which lead to a long process. I heard nothing after the second onsite interview and had to contact 2 different recruiters (every interview was scheduled by a different person) before finally getting a call 3 weeks later. She told me she had been out of town for a few weeks, something had…  come up and the hiring manager was busy, but all the feedback on me was really great and she would be back in touch in a day or two. Never heard from her again. Really unprofessional considering the amount of time that I had put in. Until the negative second interview experience, I thought that it seemed like a good place to work with smart people but the process left me thinking that they are disorganized and maybe not handling growth well.",Pretty standard questions - don't recall anything difficult.  ,"Jun 4, 2014",
No Offer,Negative Experience,Average Interview,a week,Software Engineer Intern,"Applied through company's career site, and got reply right after the application was submitted. Scheduled the a phone screen for the following week. However, the experience was horrible. I applied for the Software Engineer Intern, but the hiring manager told me that there was only a position for QA left, without any early notice. And the whole process was less than 10 minutes. It was a very unpleasant interview, and…  I think they should at least inform me about the position before the interview. It turned out to be a waste of time.",Tell me about your knowledge of network.  ,"Apr 20, 2014",
No Offer,Neutral Experience,Easy Interview,2 days,Software Engineer,I had a phone interview. The recruiter asked about some conceptual questions on Java and Python. He asked some general questions and then tell me to do a coding question next day. The question asked me to sort a log based on the date using two languages. It was not hard.,"The coding question is a little tricky, since they do not give you any limits.  ","Nov 5, 2014",
No Offer,Easy Interview,-,a week,Senior Software Engineer,I applied online and got a call from the recruiter. Setup a phone screen.,Nothing unexpected. multi-threading and be prepared to write code.How to avoid deadlocks.  ,"Mar 22, 2014",
No Offer,-,-,-,Software Engineer Intern Front End,"1 Phone Screen, followed by three back to back on site interviews. Chill guys, awesome work environment, but it seemed like they were interviewing me for a job I wasn't even qualified for.","String sorting, time interval sorting  ","Feb 1, 2014",
No Offer,Negative Experience,Difficult Interview,-,Online Marketing,"My interview process with Splunk was the strangest I've ever experienced, and that's coming from someone who has changed jobs 3 times in the past 6 years. In a nutshell, HR did an extremely poor job of communicating the process to me and dragged everything out for an obscene amount of time, ultimately resulting in no offer. Let me explain...I applied through a friend and got a standard HR screen…  about two weeks later. Then they brought me into the office a week after that for interviews with the hiring manager and the other person on the team... so good so far. Those interviews went extremely well and I could tell they liked me a lot, so I left expecting good news but had no knowledge of whether I should be expecting a decision or more interviews. Turns out I had 4 more hours of interviews with people on crossfunctional teams that I would work with.I can't blame them for being thorough but this is where it started to get weird. The first person I talked to didn't even know what role I was interviewing for and had never seen my resume, but it went well. The next person asked some Google-style questions about manhole covers, songs that describe me, etc. That went well and he even told me he'd recommend me for hire.Next was a guy who flat out had an agenda to test my composure. I've been there before but he went over the top to the point of being degrading. He belittled my past experience saying things like ""so you're saying you bridged the gap between engineering and sales... sounds like you weren't really doing anything."" ""We are very careful about who we hire and it doesn't seem like you have a lot of things on your resume that we're looking for. Explain why you even applied for this job."" These kinds of questions went on for 45 minutes! Look, I get it, you want to see if I can handle the pressure but I felt totally worthless afterward because even the questions I answered well had a follow up that made me feel stupid.The last interviewer was nicer but still had a similar agenda to get to the bottom of things. After all this I wrote the opportunity off assuming they didn't like me, but HR called to tell me that they did like me and hoped I wasn't put off by some people's ""harsh interview tactics."" ""That's not what it would be like to work here."" I was told I would hear within the next two weeks if I got the job or not. I kept following up but two weeks turned to six weeks. Then they asked me if I'd consider a temp-to-hire arrangement. Then they set up an interview with the SVP even though my interviews were supposedly done. Then the day before that interview they cancelled it and said ""thanks for your time"" with a copy-pasted two line email.... after all that!I had a job at the time and wasn't desperate, but I fell in love with the industry they were in, the role, the office, and the hiring manager and wanted the job so badly from day one that I became naive and ended up wasting tons of time and energy. I don't think they meant for things to go as they did, but HR could have been much more transparent about what they were looking for and where I stood in the process. I have no interest in messing around and they blatantly took steps to lead me on when I wasn't what they wanted.",Tell me a song that describes your style of work.  ,"Aug 30, 2013",
No Offer,Neutral Experience,Easy Interview,2 weeks,Software Engineer,"Applied for front end engineer, contacted by the HR within 2 weeks of application, and scheduled for an interview days later.","The questions are not hard. Asked about previous projects, basic JAVA concepts, and questions regarding Javascript.  ","Dec 10, 2013",
No Offer,Positive Experience,Difficult Interview,7 weeks,Technical Writer,"Interview process was long. Was told in first phone interview they were looking at a six to eight week hiring process. It took seven and felt like nine. By the time I made it to onsite interviews, I was really excited about the company and its culture. Onsite interviews were a brutal five hour affair, with five hourlong interviews with mostly higher-ups. In general I thought I did well, except…  with one project manager who was subbing for another interviewer that was a no show. He seemed like a typical corporate douche, and I worried that my judgement of him showed and made the interview go badly. Anyway, you never know. I made it into the final round and didn't get the offer. I was disappointed, but respected the explained motivation for the company's lengthy interview process - to guard their cool little culture while the company grows, fast (they were in the middle of taking over the third floor of their building).",What do you do to get information from an engineer when email and visiting their cubicle doesn't work.  ,"Jul 21, 2013",
No Offer,Negative Experience,Average Interview,4 weeks,Engineer,2 Phone interviews and then they flew me out for a face to face interview. When I arrived I was greeted with some changes to the interview roster but nothing major. Unfortunately the position that I applied for had not been adequately explained in their job requirements. They had been asking for one type of role which I currently occupy at a different company and after conversations discovered they were…  looking for something completely different. Considering I would not have applied for the job had I known they needed a different skill set entirely than what they were asking for I would advise anyone applying to be very thorough during the phone screening process before wasting your time. As it is I lost some vacation time and some out of pocket expense money.,Programming algorithms  ,"Jun 24, 2013",
No Offer,-,-,-,Software Engineer,"Interviewed by four or five individuals. Moderate chit chat and discussion of background, interests, problem-solving techniques. Was highly impressed with consideration and politeness of interviewers. The company needs better communication between recruiters and interviewers.",Perl scripting  ,"Jun 11, 2013",
No Offer,Neutral Experience,Difficult Interview,5 days,Senior Software Engineer,"Had 4 rounds of Interview, although it was supposed to be a 6 round interview. Types of questions were mostly on Design, How do you design a product and something like that, which went for more than 1 hour. Then I had the 2nd round which was on the projects that I have worked on, kept digging deeper into the projects. The 3rd round was mostly on Web Technologies, on…  CSS and Java scripts..4th round was on Python and Django. And finally the HR personal told me that they are unable to proceed further.","How do you design market place for an elevator? I couldnt understand what exactly that means, I kept asking for more inputs but all the time it was the same question, there are elevators in a building, how do you design apps for those elevators, how does the developers upload them to the market place...I couldnt answer this question, and this was the first question  ","Jun 19, 2013",
Declined Offer,Positive Experience,Difficult Interview,6+ months,Field Support Engineer,The interview process was way too long. From the time I had my 1st phone screen to the time I had subsequent phone screens and onsite interviews took about 6 months. I had started losing interest in the position by then.The SF office is really nice and the people were very cool. There was free food for lunch and an overall fun atmosphere. The people working there did seem to…  enjoy their job and it seemed like a great place to work. I was offered a position but declined due to the extensive travel involved. The field support engineers travel at least 75% of the time. They did seem to realize how difficult this was and it was discussed that most field engineers do not keep that position long term. They work that job for a year or 2 and then transition into another role at Splunk. So had I been able to put up with the travel I do think this would have been a great opportunity with a great company. I had an offer on the table from another company without the travel so I went with that.,The questions themselves were not difficult but I did feel a little intimidated by a couple of the interviewers. I could tell they were really looking for smart people and not going to accept anything less.  ,"Sep 1, 2014",
No Offer,Neutral Experience,Average Interview,a week,Intern,"Contacted a HR through LinkedIn. She asked me to send my resume. Later got a call from her that a manager wants to interview me for a testing position he has.Interview- Started with basic questions on Quicksort, then, went into OS, we discussed thrashing. Asked some behavioral questions like, 'what motivates you to work?'.At the end asked a testing question- 'How will you test Gmail's login page?'",What motivates you to work?  ,"Apr 2, 2013",
No Offer,Negative Experience,Average Interview,2+ weeks,Support Engineer,- Got contacted via LinkedIn- No technical phone interview. Only phone conversation was with HR.- In-person interview was set a few weeks later as the hiring manager was on vacation.- Spoke with 6 people around 5 hours in the office.The in-office part was very dis-organized with one of the interviewers calling in sick. There were a few Skype interviews which were running late because the interviewers were not on-time.On the…  whole a very dis-organized process.I never heard back from anyone at the company following the interview. I looped back with them once to check and received no response.,Standard technical troubleshooting questions. Some questions on iterators and constructors.  ,"Apr 27, 2013",
Accepted Offer,Positive Experience,Difficult Interview,1+ week,Software Engineering Intern,"Very fast hiring process. Was interviewed directly by the team that was looking for interns on their project. Best part about all the interviews was that there were no trick questions, no math puzzles or other lateral thinking riddles. There were also no ridiculous questions like what are your weaknesses and strengths.All interviewers kept the questions very conceptual, engaging me in open discussions about my previous projects and the technologies…  that I am comfortable with.",There were no unreasonably tough questions.  ,"Feb 23, 2013",
No Offer,-,-,3 weeks,Software Engineer,"Applied for the position through LinkedIn, within a week an HR contacted me about the opportunity. For the following week I had two technical phone interviews with the technical members in the team. I cleared both the interviews and was called for a day long onsite interview.The onsite interview process was pretty smooth. Mostly open ended questions like how would you design a search tool and some question about debugging…  skills.","The questions were bit tricky, like the open ended ones when there is no right and wrong answer.  ","Feb 13, 2013",
Accepted Offer,Positive Experience,Difficult Interview,5 weeks,Senior Software Engineer,First round: telephone screeningSecond round: In person technical interviewThird round: In person interview with broader management team and project team.,"Chef, jenkins, python  ","Mar 17, 2013",
No Offer,Negative Experience,-,-,Developer In Applications,"Behavioral and programming background questions at phone screen. Five in-person interviews in SF. Questions about regular expressions, data sorting, irrelevant 'math' problems, merge sort. After interview was called over the phone to interview in another division. Asked a dynamic programming question; but I doubt the interviewer knew it was a dynamic programming problem rather than simply a 'well-known' algorithm.Too much 'coding' and parroting out answers to well-known problems; little to…  no original problem-solving.",How many zeroes are in factorial of 100?  ,"Nov 20, 2012",
No Offer,Average Interview,-,5 days,Office Assistant,The process was fairly quick but they are disorganized. When i spoke with one hiring manger she gave me a different idea of the actual job. When I spoke with the actual manager she informed me that I would be by myself and she skypes in to communicate with the office. I do not have mangerial experience so i know this would not have been ideal for me.,The worst part was when i asked her a question about the company she could not answer the question as if she was reading off a piece of paper  ,"Nov 19, 2012",
Accepted Offer,Positive Experience,Easy Interview,2 weeks,Sales,Interview the interviewer. Decide if you want to work for and with them.,Why do you want to work for Splunk?  ,"Oct 23, 2012",
Accepted Offer,Positive Experience,Average Interview,4+ weeks,Anonymous,Great follow up.,Company values  ,"Nov 17, 2013",
No Offer,Negative Experience,Easy Interview,a week,Federal Representative,interview was a joke. The women who interviewed me kept speaking about her last boss. She had not idea of how to sell to the federal government without a GSA schedule. Splunk does not have a GSA. She had an MBA but that was all. I went to the meeting that she accected and all she wanted to do was tell me she had a customer at 11:30 so our…  interview was cut short. poor representation of the company and herself. She came from services andshe she missed a sale to homeland security because she had not idea how to bring in the deal with out a GSA schedule. lack of skills in the federal government.,she had no difficult questions; she could not answer my question of what was the entier interviewing process from start to finish  ,"Oct 12, 2012",
Accepted Offer,Positive Experience,Easy Interview,a week,Education,"What an awesome company and interview process. I was an internal referral, so that probably helped a lot.I received an email and phone screen from hiring manager directly: no recruiter. Two phone screens, and I had an in-person interview. Everyone was very nice, and a lot of it is if you have the skills, they want to make sure you fit in. There's a lot of making sure you have…  your background too.The recruiter contacted me after the in-person a day or so later, and I had the job. The entire process was easy. The hardest part was waiting for the background check to clear.",None that I can think of. It was a very relaxing environment.  ,"Oct 24, 2013",
Accepted Offer,Neutral Experience,Average Interview,1+ week,Software Engineer,Random. Interviewers have different levels. The managers disregard all the feedback and play politics. Week candidates got surprising offers even they did expect. Managers sometimes just tried to stuff people to the team so it looks good in their review. Then there is no opening and even good candidates can't get offer.,Implement iterator.  ,"Nov 23, 2016",Why do you want to join?  
Accepted Offer,Neutral Experience,Easy Interview,2+ weeks,Engineering,"Basic interview process, phone screen then one-on-one with each team member",,"Jun 25, 2012",
No Offer,Negative Experience,Difficult Interview,2 weeks,Software Engineer,Splunk people are not organised.They dont know what they need from candidate.Eventhough they knew that i did not have the skills they were looking for they called me for personal interview and wasted my 1 full day.Beware of it and make sure your skillset matches before going for an interview.Otherwise you will waste your time.....,"Sorting algorithms,Performace,scalability,Unix and Linux  ","Jul 27, 2011",
Accepted Offer,Neutral Experience,Average Interview,1 day,Engineering Intern,"Went in for a 1.5 hr onsite interview. Chatted about the company and asked questions for the first half hour. And spent the rest of the time on two tech questions. They were pretty nice about giving hints and being patient. I thought the interview went pretty badly, but I guess it was okay in the end!",How would you print the nodes in a tree using DFS?  ,"Mar 20, 2012",
